Date,Open,High,Low,Close,Adj Close,Volume
8-Dec-25,90424.59,92267.12,89644.89,90640.2,90640.2,"57,394,099,056"
7-Dec-25,89277.81,91740.84,87799.56,90405.64,90405.64,"47,394,898,960"
6-Dec-25,89389.36,90267.46,88951.66,89272.38,89272.38,"37,994,042,405"
5-Dec-25,92133.65,92702.64,88152.14,89387.76,89387.76,"63,256,398,633"
4-Dec-25,93454.26,94038.24,90976.1,92141.63,92141.63,"64,538,402,681"
3-Dec-25,91345.09,94060.77,91056.39,93527.8,93527.8,"77,650,204,986"
2-Dec-25,86322.54,92316.63,86202.2,91350.2,91350.2,"78,546,798,211"
1-Dec-25,90389.11,90398.16,83862.25,86321.57,86321.57,"87,962,894,424"
30-Nov-25,90838.21,91965.05,90394.31,90394.31,90394.31,"38,497,902,869"
29-Nov-25,90918.74,91187.62,90260.19,90851.76,90851.76,"37,921,773,455"
28-Nov-25,91285.38,92969.09,90257.12,90919.27,90919.27,"60,895,830,289"
27-Nov-25,90517.77,91897.58,90089.52,91285.38,91285.38,"57,040,622,845"
26-Nov-25,87345.59,90581.16,86316.9,90518.37,90518.37,"66,496,301,869"
25-Nov-25,88269.96,88457.34,86131.43,87341.89,87341.89,"64,837,343,545"
24-Nov-25,86798.77,89206.34,85272.2,88270.56,88270.56,"74,433,896,110"
23-Nov-25,84648.61,88038.47,84641.77,86805.01,86805.01,"58,083,435,576"
22-Nov-25,85098.56,85503.01,83490.9,84648.36,84648.36,"40,793,099,246"
21-Nov-25,86528.77,87380.8,80659.81,85090.69,85090.69,"129,157,506,112"
20-Nov-25,91459.35,93025.07,86040.8,86631.9,86631.9,"97,970,645,638"
19-Nov-25,92946.16,92946.16,88526.83,91465.99,91465.99,"80,350,354,656"
18-Nov-25,92094.53,93745.08,89300.46,92948.88,92948.88,"101,333,569,062"
17-Nov-25,94180.88,95928.37,91214.76,92093.88,92093.88,"94,186,165,724"
16-Nov-25,95556.87,96564.19,92971.16,94177.08,94177.08,"71,086,235,862"
15-Nov-25,94420.47,96728.47,94420.47,95549.15,95549.15,"38,500,716,654"
14-Nov-25,99694.7,99804.43,94000.73,94397.79,94397.79,"114,346,441,890"
13-Nov-25,101674.15,104005.49,97988.72,99697.49,99697.49,"101,546,815,416"
12-Nov-25,103011.44,105297.23,100836.62,101663.19,101663.19,"64,347,179,408"
11-Nov-25,105996.86,107428.26,102457.33,102997.47,102997.47,"71,130,078,574"
10-Nov-25,104723.77,106564.7,104350.65,105996.59,105996.59,"69,585,887,229"
9-Nov-25,102278.98,105418.37,101468.88,104719.64,104719.64,"59,679,243,013"
8-Nov-25,103371.7,103373.56,101458.04,102282.12,102282.12,"51,446,691,095"
7-Nov-25,101286.24,104052.91,99257.05,103372.41,103372.41,"92,168,030,081"
6-Nov-25,103893.66,104147.3,100336.87,101301.29,101301.29,"63,932,752,861"
5-Nov-25,101579.23,104534.7,98989.91,103891.84,103891.84,"77,584,934,804"
4-Nov-25,106541.42,107264.88,98962.06,101590.52,101590.52,"110,967,184,773"
3-Nov-25,110646.91,110764.91,105336.36,106547.52,106547.52,"72,852,006,359"
2-Nov-25,110064.43,111167.31,109523.45,110639.63,110639.63,"34,284,209,459"
1-Nov-25,109558.63,110574.9,109372.95,110064.02,110064.02,"25,871,668,762"
31-Oct-25,108304.41,111031.82,108288.27,109556.16,109556.16,"60,090,359,560"
30-Oct-25,110059.2,111612.35,106376.69,108305.55,108305.55,"69,673,964,814"
29-Oct-25,112921.33,113642.73,109368.72,110055.3,110055.3,"62,192,043,469"
