Date,Open,High,Low,Close,Adj Close,Volume
23-Oct-25,259.94,260.62,258.01,259.58,259.33,"32,754,900"
22-Oct-25,262.65,262.85,255.43,258.45,258.2,"45,015,300"
21-Oct-25,261.88,265.29,261.83,262.77,262.52,"46,695,900"
20-Oct-25,255.89,264.38,255.63,262.24,261.99,"90,483,000"
17-Oct-25,248.02,253.38,247.27,252.29,252.05,"49,147,000"
16-Oct-25,248.25,249.04,245.13,247.45,247.21,"39,777,000"
15-Oct-25,249.49,251.82,247.47,249.34,249.1,"33,893,600"
14-Oct-25,246.6,248.85,244.7,247.77,247.53,"35,478,000"
13-Oct-25,249.38,249.69,245.56,247.66,247.42,"38,142,900"
10-Oct-25,254.94,256.38,244,245.27,245.03,"61,999,100"
9-Oct-25,257.81,258,253.14,254.04,253.79,"38,322,000"
8-Oct-25,256.52,258.52,256.11,258.06,257.81,"36,496,900"
7-Oct-25,256.81,257.4,255.43,256.48,256.23,"31,955,800"
6-Oct-25,257.99,259.07,255.05,256.69,256.44,"44,664,100"
3-Oct-25,254.67,259.24,253.95,258.02,257.77,"49,155,600"
2-Oct-25,256.58,258.18,254.15,257.13,256.88,"42,630,200"
1-Oct-25,255.04,258.79,254.93,255.45,255.2,"48,713,900"
30-Sep-25,254.86,255.92,253.11,254.63,254.38,"37,704,300"
29-Sep-25,254.56,255,253.01,254.43,254.18,"40,127,700"
26-Sep-25,254.1,257.6,253.78,255.46,255.21,"46,076,300"
25-Sep-25,253.21,257.17,251.71,256.87,256.62,"55,202,100"
24-Sep-25,255.22,255.74,251.04,252.31,252.07,"42,303,700"
23-Sep-25,255.88,257.34,253.58,254.43,254.18,"60,275,200"
22-Sep-25,248.3,256.64,248.12,256.08,255.83,"105,517,400"
19-Sep-25,241.23,246.3,240.21,245.5,245.26,"163,741,300"
18-Sep-25,239.97,241.2,236.65,237.88,237.65,"44,249,600"
17-Sep-25,238.97,240.1,237.73,238.99,238.76,"46,508,000"
16-Sep-25,237.18,241.22,236.32,238.15,237.92,"63,421,100"
15-Sep-25,237,238.19,235.03,236.7,236.47,"42,699,500"
12-Sep-25,229.22,234.51,229.02,234.07,233.84,"55,824,200"
11-Sep-25,226.88,230.45,226.65,230.03,229.81,"50,208,600"
10-Sep-25,232.19,232.42,225.95,226.79,226.57,"83,440,800"
9-Sep-25,237,238.78,233.36,234.35,234.12,"66,313,900"
8-Sep-25,239.3,240.15,236.34,237.88,237.65,"48,999,500"
5-Sep-25,240,241.32,238.49,239.69,239.46,"54,870,400"
4-Sep-25,238.45,239.9,236.74,239.78,239.55,"47,549,400"
3-Sep-25,237.21,238.85,234.36,238.47,238.24,"66,427,800"
2-Sep-25,229.25,230.85,226.97,229.72,229.5,"44,075,600"
29-Aug-25,232.51,233.38,231.37,232.14,231.92,"39,418,400"
28-Aug-25,230.82,233.41,229.34,232.56,232.33,"38,074,700"
27-Aug-25,228.61,230.9,228.26,230.49,230.27,"31,259,500"
26-Aug-25,226.87,229.49,224.69,229.31,229.09,"54,575,100"
25-Aug-25,226.48,229.3,226.23,227.16,226.94,"30,983,100"
22-Aug-25,226.17,229.09,225.41,227.76,227.54,"42,477,800"
21-Aug-25,226.27,226.52,223.78,224.9,224.68,"30,621,200"
20-Aug-25,229.98,230.47,225.77,226.01,225.79,"42,263,900"
19-Aug-25,231.28,232.87,229.35,230.56,230.34,"39,402,600"
18-Aug-25,231.7,233.12,230.11,230.89,230.67,"37,476,200"
15-Aug-25,234,234.28,229.34,231.59,231.37,"56,038,700"
14-Aug-25,234.06,235.12,230.85,232.78,232.55,"51,916,300"
13-Aug-25,231.07,235,230.43,233.33,233.1,"69,878,500"
12-Aug-25,228.01,230.8,227.07,229.65,229.43,"55,626,200"
11-Aug-25,227.92,229.56,224.76,227.18,226.96,"61,806,100"
8-Aug-25,220.83,231,219.25,229.35,228.87,"113,854,000"
7-Aug-25,218.88,220.85,216.58,220.03,219.57,"90,224,800"
6-Aug-25,205.63,215.38,205.59,213.25,212.8,"108,483,100"
5-Aug-25,203.4,205.34,202.16,202.92,202.49,"44,155,100"
4-Aug-25,204.51,207.88,201.68,203.35,202.92,"75,109,300"
1-Aug-25,210.87,213.58,201.5,202.38,201.95,"104,434,500"
31-Jul-25,208.49,209.84,207.16,207.57,207.13,"80,698,400"
30-Jul-25,211.9,212.39,207.72,209.05,208.61,"45,512,500"
29-Jul-25,214.18,214.81,210.82,211.27,210.83,"51,411,700"
28-Jul-25,214.03,214.85,213.06,214.05,213.6,"37,858,000"
25-Jul-25,214.7,215.24,213.4,213.88,213.43,"40,268,800"
24-Jul-25,213.9,215.69,213.53,213.76,213.31,"46,022,600"
23-Jul-25,215,215.15,212.41,214.15,213.7,"46,989,300"
22-Jul-25,213.14,214.95,212.23,214.4,213.95,"46,404,100"
21-Jul-25,212.1,215.78,211.63,212.48,212.03,"51,377,400"
18-Jul-25,210.87,211.79,209.7,211.18,210.74,"48,974,600"
17-Jul-25,210.57,211.8,209.59,210.02,209.58,"48,068,100"
16-Jul-25,210.3,212.4,208.64,210.16,209.72,"47,490,500"
15-Jul-25,209.22,211.89,208.92,209.11,208.67,"42,296,300"
14-Jul-25,209.93,210.91,207.54,208.62,208.18,"38,840,100"
11-Jul-25,210.57,212.13,209.86,211.16,210.72,"39,765,800"
10-Jul-25,210.51,213.48,210.03,212.41,211.96,"44,443,600"
9-Jul-25,209.53,211.33,207.22,211.14,210.7,"48,749,400"
8-Jul-25,210.1,211.43,208.45,210.01,209.57,"42,848,900"
7-Jul-25,212.68,216.23,208.8,209.95,209.51,"50,229,000"
3-Jul-25,212.15,214.65,211.81,213.55,213.1,"34,955,800"
2-Jul-25,208.91,213.34,208.14,212.44,211.99,"67,941,800"
1-Jul-25,206.67,210.19,206.14,207.82,207.38,"78,788,900"
30-Jun-25,202.01,207.39,199.26,205.17,204.74,"91,912,800"
27-Jun-25,201.89,203.22,200,201.08,200.66,"73,188,600"
26-Jun-25,201.43,202.64,199.46,201,200.58,"50,799,100"
25-Jun-25,201.45,203.67,200.62,201.56,201.14,"39,525,700"
24-Jun-25,202.59,203.44,200.2,200.3,199.88,"54,064,000"
23-Jun-25,201.63,202.3,198.96,201.5,201.08,"55,814,300"
20-Jun-25,198.24,201.7,196.86,201,200.58,"96,813,500"
18-Jun-25,195.94,197.57,195.07,196.58,196.17,"45,394,700"
17-Jun-25,197.2,198.39,195.21,195.64,195.23,"38,856,200"
16-Jun-25,197.3,198.69,196.56,198.42,198,"43,020,700"
13-Jun-25,199.73,200.37,195.7,196.45,196.04,"51,447,300"
12-Jun-25,199.08,199.68,197.36,199.2,198.78,"43,904,600"
11-Jun-25,203.5,204.5,198.41,198.78,198.36,"60,989,900"
10-Jun-25,200.6,204.35,200.57,202.67,202.24,"54,672,600"
9-Jun-25,204.39,206,200.02,201.45,201.03,"72,862,600"
6-Jun-25,203,205.7,202.05,203.92,203.49,"46,607,700"
